,full_text
137,"['akhirnya', 'anies', 'kena', 'batunya', 'ucapannya', 'terkait', 'udara', 'ber', 'ktp', 'gacoan', 'olivia', 'jill', 'biden', 'daesang', 'gempa', 'adidas', 'surabaya', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik', 'melania', 'bangtan', 'debut']"
138,"['celana', 'panjang', 'chino', 'pria', 'murah', 'berkualitas', 'dapatkan', 'cashback', '40', 'shopee', 'video', 'anies', 'gacoan', 'daesang', 'surabaya', 'gempa', 'ayo', 'lihat', 'videoku', 'shopee', 'video']"
139,"['jelas', 'lebih', 'pantes', 'anies']"
140,"['serangan', 'yang', 'dikerjakan', 'si', 'memed', 'hari', 'buzzer', 'ayah', 'semua', 'medsos', 'debat', 'kpu', 'serangannya', 'kalap', 'sekali', 'rl', 'ternyata', 'ada', 'hasil', 'cenderung', 'negatif', 'anies', 'pelan2', 'banyak', 'dibicarakan', 'semua', 'kalangantitik', 'cerah']"
141,"['panggung', 'debat', 'panggung', 'ny', 'sm', 'anies', 'klo', 'kalah', 'panggung', 'langsung', 'ulti', 'nya', 'pake', 'surat', 'lah', 'lah', 'lah', 'nyari', 'kuncian', 'pokoknya', 'hahahahaaa', 'badut', 'politik']"
142,"['titidaklkan', 'dukung', 'anies', 'baswedan', 'lebih', 'mampu', 'mengayomi', 'rakyat', 'indonesia', 'kedepannya']"
143,"['disinggung', 'soal', 'janji', 'tak', 'maju', 'ada', 'pilpres', 'anies', 'komitmen', 'dki']"
144,"['anies', 'memang', 'gak', 'dipercaya', 'kata2', 'nya', 'tukang', 'obral', 'janji']"
145,"['parah', 'banget', 'cantiknya', 'udah', 'gitu', 'keren', 'dukung', 'pak', 'anies', 'sempurna']"
146,"['haha', 'perjanjian', 'apa', 'membatasi', 'hak', 'orang', 'untuk', 'mengabdi', 'negara', 'emang', 'menjamin', 'hak', 'hidup', 'anies', 'baswedan', 'menyedihkan', 'sekali', 'kualitas', 'berpikirnya', 'makin', 'menurun']"
147,"['fans', 'bole', 'otak', 'pakai', 'kenyataan', 'jadi', 'hoax', 'hoax', 'kalian', 'buat', 'jd', 'kenyataan', 'nonton', 'bnyk']"
148,"['main', 'aman', 'gimana', 'sejauh', 'pikiran', 'awam', 'gw', 'jelas', 'bgt', 'kok', 'sikap', 'anies', 'ttg', 'ikn', 'apa', 'lo', 'doang', 'ga', 'faham']"
149,"['ayoviralkan', 'rekam', 'jejak', 'anies', 'rasyid', 'baswedan', 'pimpin', 'dki', 'jkt']"
150,"['nama', 'gerinda', 'jg', 'naik', 'pdhl', 'lebih', 'dr', '10th', 'lalu', 'berpasangan', 'dgn', 'mega', 'seolaholah', 'gerindra', 'lebih', 'kecil', 'dr', 'anies', 'njirrtt']"
151,"['betulcocok', 'jadi', 'bapak', 'bangsa', 'king', 'maker', 'tp', 'gak', 'cocok', 'jadi', 'presidenpresiden', 'biar', 'cocok2', 'ajaanies']"
152,"['hatihatianies', 'mendekati', 'abdsomad']"
153,"['anies', 'cerdas', 'amp', 'jujur', 'fakta']"
154,"['pada', 'takut', 'sama', 'fpi', 'dah', 'organisasinya', 'udah', 'bubar', 'kok', 'takut', 'sama', 'ideologinya', 'emang', 'power', 'sebesar', 'apa', 'pas', 'anies', 'jabat', 'jadi', 'gub', 'dki', 'ngadain', 'christmas', 'carol', 'gitu', 'mantan', 'pentolan', 'fpi', 'rusuh', 'aduh']"
155,"['ampun', 'ama', 'ni', 'orang', 'benci', 'fpi', 'hrs', 'gerombolan', 'nya', 'kena', 'anies', 'dulu', 'kena', 'tuduh', 'memobilisasi', '212', 'keluarga', 'cikeas', 'eh', 'pangeran', 'cikeas', 'kalah', 'putaran', 'pertama', 'kena', 'anies']"
156,"['selama', 'tuan', 'timbul', 'hidup', 'anies', 'gausah', 'nyapres', 'gitu', 'etikanya', 'gak', 'bicara2', 'soal', 'etika', 'kaya', 'tuan', 'plongo', 'lebih', 'fahan', 'sdh', 'menang', '2x', 'tuan', 'timbul']"
157,"['mengkaitkan', 'apbd', 'dki', 'puluhan', 'trilyun', 'dgn', 'kemampuan', 'anies', 'mengatasi', 'polusi', 'padahal', 'masalah', 'polusi', 'jkt', 'bukan', 'soal', 'duit', 'tentang', 'kewenangan', 'pemerintah', 'pusat', 'stupid', 'soal', 'lingkungan', 'yang', 'harusnya', 'dikoreksi']"
158,"['anies', 'lbh', 'baik', 'dibandingkan', 'kamu', 'hya', 'dewan', 'penjilat', 'amp', 'munafik']"
159,"['hukum', 'tegak', 'semua', 'capres', 'anies', 'singgung', 'gibran', 'paparan', 'visi', 'misi', 'soal', 'penegakan', 'hukum']"
160,"['lamongan', 'viva', 'jatim', 'naskah', 'ujian', 'kelas', 'xi', 'smk', 'muhammadiyah', 'sekaran', 'kabupaten', 'lamongan', 'terpampang', 'foto', 'calon', 'presiden', 'capres', 'anis', 'baswedan', 'naskah', 'ujian', 'mata', 'pelajaran', 'bahasa', 'inggris', 'terdapat', 'foto', 'anies', 'baswedan', 'tersebut', 'terdapat', 'poin', 'b', 'nomer', '21', '23']"
161,"['inilah', '13', 'poin', 'pakta', 'integritas', 'disepakati', 'paslon', '1', 'anies', 'baswedan', 'muhaimin', 'iskandar', 'mendapat', 'dukungan', 'ijtima', 'ulama', 'sepenuhnya']"
162,"['saha', 'ieu', 'teh', 'meuni', 'geulis', 'kitu', 'sampaikan', 'salam', 'si', 'cantik', 'dan', 'kasih', 'tahu', 'bahwasanya', 'akan', 'memilih', 'pak', 'anies', 'jadi', 'presiden', 'ri']"
163,"['desak', 'anies', 'desak', 'nya', 'bukan', 'asal', 'nama', 'biar', 'menarik', 'acara', 'orang', 'beneran', 'ngedesak', 'keras', 'depan', 'muka', 'pak', 'anies']"
164,"['kasian', 'mau', 'pilih', 'anies', 'dibully', 'emak']"
165,"['kutipan', 'anies', 'didasarkan', 'atas', 'pemberitaan', '2019', 'prioritasnya', 'membangun', 'pedestrian', 'cak', 'imin', 'beliau', 'berbicara', 'ketidaksepakatannya', 'atas', 'pemindahan', 'ibukota', 'justru', 'meneguhkan', 'stereotipe', 'kalimantan']"
166,"['2', 'hari', 'berlalu', 'anies', 'tetap', 'trending', 'twitterx', 'tanya']"
167,"['giliran', 'mas', 'anies', 'ngegas']"
168,"['anies', 'musuh', 'negara', 'wakanda', 'harapan', 'rakyat', 'indonesia', 'wakanda', 'no', 'more', 'indonesia', 'forever']"
169,"['anies', 'ga', 'menolak', 'memang', 'gerakan', 'krn', 'jokowi', 'literally', 'ga', 'yang', 'berani', 'melarang', 'krn', 'memang', 'massa', 'sedang', 'gusar', 'jelas', 'anies', 'bukan', 'inisiator', 'dalang', 'ga', 'nge', 'encourage', 'ga', 'terlibat', 'kejadian', 'sama', 'sekali']"
170,"['pak', 'pernah', 'mengusung', 'anies', 'tpi', 'ungkit', 'd', 'debat', 'terus', 'bakas', 'pak', 'anies', 'salahnya', 'ingat', 'gerindra', 'menerima', 'banyak', 'manfaat', 'saaat', 'dukung', 'anies']"
171,"['pak', 'anies', 'petugas', 'nya', 'pak', 'surya', 'lantas', 'tak', 'level', 'tuh', 'jongos', 'nya', 'yaaa', 'mbak']"
172,"['dinilai', 'sangat', 'santai', 'sangat', 'tenang', 'tak', 'terlihat', 'gugup', 'sama', 'sekali', 'bahkan', 'beberapa', 'kali', 'justru', 'berhasil', 'mencairkan', 'suasana', 'jokesnya', 'gaya', 'silat', 'gemoy', 'pasca', 'menjawab', 'pertanyaan', 'anies', 'lalu', 'diikuti', 'riuh', 'tawa', 'penonton', 'pemimpin', 'tegas']"
173,"['beginilah', 'mentah', 'dam', 'sifat', 'capres', 'anies', 'sombong', 'angkuh']"
174,"['anies', 'menang', 'pilkada', 'habib', 'rizieq', 'ga', 'minta', 'apa', 'gajadi', 'apa']"
175,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'terukur']"
176,"['mereka2', 'alergi', 'fpi', 'jakarta', 'menjadi', 'neraka', 'jaman', 'pak', 'anies', 'shummum', 'bukmun', 'umyun', 'fa', 'hum', 'l', 'yarjin']"
177,"['anies', 'baswedan', 'cerita', 'ustad', 'abdul', 'somad', 'heran', 'ada', 'doa', 'debat', 'capres']"
178,"['temen', 'ngoceh', 'soal', 'debat', 'pilpres', 'gw', 'jd', 'pendengar', 'baik', 'aja', 'dech', 'y', 'bagus', 'katanya', 'pak', 'anies', 'tp', 'd', 'harapkan', 'menggunakan', 'data', 'spya', 'gen', 'z', 'kosong', 'jd', 'faham', 'visi', 'misinya', 'pak', 'anies']"
179,"['nasdem', 'ajukan', 'anies', 'nasdem', 'inilah', 'pasangan', 'rekonsiliasi', 'bangsa', 'negara', 'pascaketerbelahan', 'pemilu', '2019', 'bukan', 'versi', 'fahri', 'hamzah', 'ngarang', 'pak', 'lurah', 'meneng', 'ae', 'bulan', 'ditunggu', 'tak', 'respons', 'malah', 'ab', 'hendak', 'dikriminalisasi']"
180,"['harusnya', 'mas', 'anies', 'briefing', 'dulu', 'ngomong', 'isu', 'demokrasi', 'terkait', 'oposisi', 'partai', 'pengusung', 'terutama', 'nasdem', 'pkb', 'ibarat', 'mendulang', 'air', 'kecipratan', 'muka', 'sendiri']"
181,"['pantesan', 'kalo', 'polling', 'x', 'anies', 'menang', 'mulucocok', 'jadi', 'presiden', 'medsos', 'doangnegeri', 'maya']"
182,"['bang', 'andre', 'tidak', 'beretika', 'angkuh', 'klaim', 'anies', 'jadi', 'gub', 'dki', 'gerindra', 'menapikan', 'jasa', 'jasa', 'partai', 'relawan2', 'rakyat', 'dki', 'yakin', 'kalau', 'gerindra', 'sendiri', 'ngusung', 'anies', 'gak', 'jadi']"
183,"['anies', 'menunjukan', 'keadaan', 'penegakan', 'hukum', 'dimata', 'orang', 'tua', 'korban', 'mencari', 'keadilan', 'saat', 'ini']"
184,"['mustahil', 'bro', 'nu', 'pkb', 'mau', 'dikemanain', 'anies', 'semasa', 'menjabat', 'semua', 'agama', 'kesetaraan', 'fpi', 'diem', 'ga', 'aneh', 'beras', 'bansos', 'jadi', 'bancakan', 'anak', 'buah', 'pak', 'heru', 'aja', 'kecium', 'kalo', 'anies', 'kasih', 'dana', 'lebih', 'fpi', 'ketahuan', 'viral', 'lah']"
185,"['koq', 'kamu', 'sesalkan', 'penyataan', 'anies', 'nus', 'kelakuan', 'nya', 'lah', 'ga', 'tahan', 'tolol']"
186,"['kyk', 'anies', 'udah', 'ngegolin', 'tp', 'dianulir', 'offset']"
187,"['2x', 'diperiksa', 'kpk', 'anies', 'datang', '2x', 'tidak', 'terbukti']"
188,"['kebayang', 'gak', 'kalau', 'tiba2', 'orang', 'banyak', 'pilih', 'anies', 'lalu', 'menang', 'pas', 'menang', 'baru', 'tau', 'sekelompok', 'sama', 'ormas2', 'tsb', 'apa', 'rasanya', 'mereka2', 'tertipu', '2', 'kali', 'tsb']"
189,"['berani', 'terobos', 'area', 'penegakan', 'hukum', 'paling', 'rawan', 'debat', 'capres', 'reza', 'indragiri', 'siapa', 'kapolri', 'anies']"
190,"['wkwkw', 'iya', 'kemarin2', 'kan', 'efpei', '212', 'dr', 'beritane', 'condong', 'beberapa', 'tokoh', 'intine', 'spt', 'babe', 'haekal', 'neno', 'warisman', 'fahri', 'hamzah', 'eh', 'giliran', 'tokoh2', 'lainnya', 'anies', 'baswedan', 'lsg', 'dicap', 'politik', 'identitas']"
191,"['mana', 'hebatnya', 'wowo', 'gertak', 'si', 'owe', 'ciut', 'dah', 'gk', 'aneh', 'wajah', 'perisai', 'nya', 'awokwoox']"
192,"['pantes', 'aja', 'buzzerrp', 'om', 'wowo', 'aktif', 'bngt', 'nyerang', 'anies', 'dr', 'segala', 'penjurutaunya', 'utk', 'nutupin', 'om', 'wowo', 'lg', 'ko', 'krn', 'kecapean', 'berdiri', 'wkt', 'debat', 'kmrn', 'segala', 'cara', 'nyerang', 'anies', 'tp', 'ga', 'mempan', 'akhirnya', 'ketauan', 'jg', 'om', 'wowo', 'lg', 'kurang', 'sehat', 'sehat', 'sehat', 'om', 'wowo', 'msh', 'debat', 'lain']"
193,"['kalau', 'nyerang', 'anies', 'debat', 'soal', 'politik', 'identitas', 'aku', 'sukarela', 'bakal', 'jadi', 'buzzer']"
194,"['persiapan', 'debat', 'kedua', 'amin', 'misi', 'sejahtera', 'keluarga', 'akar', 'kekuatan', 'bangsa', 'jcc', 'network', 'anies', 'pilihan', 'terbaik']"
195,"['setahuku', 'hrs', 'uas', 'ulama', 'ulama', 'bersimpati', 'anies', 'beberapa', 'bulan', 'lalu', 'sempat', 'aku', 'lihat', 'video', 'uah', 'dukung', 'anies', 'jadi', 'tidakk', 'perlu', 'heran', 'pilihan', 'bebas', 'ulama', 'banyak', 'masing', 'masing', 'punya', 'pilihan', 'beda', 'beda']"
196,"['adem', 'liat', 'nya', 'klo', 'anies', 'ngomong']"
197,"['1', 'anies', 'muhaimin', '27', '2', 'gibran', '93', '3', 'mahfud', '43']"
198,"['capres', 'no', 'urut', '1', 'anies', 'baswedan', 'menghadiri', 'diskusi', 'bersama', 'kelompok', 'disabilitas', 'se', 'jabodetabek', 'islamic', 'center', 'kotabekasijabar', 'jumat', '1512', 'hub']"
199,"['harusnya', 'bukan', 'judulnya', 'gerinda', 'bantah', 'ucapan', 'kan', 'anies', 'kutip', 'pernyataan', 'bahkan', 'vidio', 'kita', 'lihat', 'sekarang', 'banyak', 'beredar']"
200,"['dulu', 'milih', 'fpi', 'dulu', 'milih', 'jokowi', 'yang', 'jokowi', 'yang', 'pdip', 'yang', 'dulu', 'milih', 'krn', 'fpi', 'sekarang', 'gabung', 'anies', 'yang', 'dulu', 'milih', 'jokowi', 'pdip', 'sekarang', 'gabung', 'sisanya', 'gabung']"
201,"['anies', 'baswedan', 'klarifikasi', 'janjinya', 'tak', 'nyapres', 'lawan', 'singgung', 'soal', 'komitmen']"
202,"['siapa', 'pilihan', 'sebagai', 'presiden', '2024', 'anies', 'muhaimin', '900', 'gibran', '61', 'mahfud', '38', 'total', 'suara', '1302', 'klik', 'link', 'forward', 'group', 'temantemanmu', 'terima', 'kasih']"
203,"['anies', 'terlibat', 'putusan', 'membangun', 'ikn', 'sehitidak', 'beliau', 'tau', 'alasan', 'jelasnya', 'harus', 'segera', 'dibangun', 'permasalahan', 'masih', 'banyak', 'jadi', 'saya', 'malah', 'lebih', 'bijak', 'anies', 'menjawab', 'atau', 'ketika', 'ditanya', 'soal', 'ikn']"
204,"['ahok', 'ngebacot', 'kep', 'seribu', 'tahun', '2016', '212', 'ngumpul', 'dimonas', '2016', 'kena', 'anies']"
205,"['anies', 'angkuh', 'menegakan', 'hukum', 'padahal', 'para', 'pendukungnya', 'bermasalah', 'berani', 'tego', 'gacoan', 'pagii', 'batter', 'up', '100m', 'views', 'gempa', 'anies', 'kamis', 'daesang', 'pilihan', 'terbaik', 'adidas', 'moldova', 'ulama', 'dana', 'ginting', 'bengis']"
206,"['sy', 'pendukung', 'setelah', 'hasil', 'debat', 'kmrin', 'sy', 'dukung', 'anies']"
207,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'terukur']"
208,"['kalau', 'dibaca2', 'baik', 'tetep', 'keputusan', 'tangan', 'presiden', 'aku', 'percaya', 'pak', 'anies', 'bakalan', 'melakukan', 'merugikan', 'masyrakat', 'golongan', 'tertentu', 'tidak', 'terbukti', 'jkt', 'di', 'jkt', 'dia', 'mendukung', 'minoritas', 'membuat', 'yang', 'lain', 'emosi', 'menolak', 'adem', 'adil']"
209,"['kelen', 'gorenggoreng', 'sampah', 'mending', 'tanya', 'pak', 'aksa', 'mahmud', 'sampai', 'nama', 'pak', 'anies', 'muncul', 'pilgub', 'dki']"
210,"['anies', 'sosok', 'capres', 'tidak', 'memiliki', 'adab', 'orang', 'lebih', 'tua', 'gacoan', 'pagii', 'batter', 'up', '100m', 'views', 'gempa', 'anies', 'kamis', 'daesang', 'pilihan', 'terbaik', 'adidas', 'moldova', 'ulama', 'dana', 'ginting', 'bengis']"
211,"['klu', 'gak', 'punya', 'ambisi', 'nama', 'nya', 'mayat', 'anies', 'podo', 'wae']"
212,"['kemarin', 'topiknya', 'anies', 'terus', 'bro', 'takut', 'yah']"
213,"['gak', 'sadar', 'anies', 'dicalonkan', 'pks', 'sandiaga', 'dicalonkan', 'gerindra', 'kocak']"
214,"['anies', 'selalu', 'terjebak', 'asumsi', 'pribadi', 'adanya', 'dukungan', 'bukti', 'fakta', 'gacoan', 'pagii', 'batter', 'up', '100m', 'views', 'gempa', 'anies', 'kamis', 'daesang', 'pilihan', 'terbaik', 'adidas', 'moldova', 'ulama', 'dana', 'ginting', 'bengis']"
215,"['lalu', 'dipilih', 'sandi', 'uno', 'sekarang', 'tugas', 'selesai', 'balik', 'teman', 'lama', 'utl', 'berhadapan', 'dgn', 'orang', 'mengusung', 'waktu', 'anies', 'dititidakl', 'kwn', 'lama', '5', 'tahun', 'mencaci', 'maki', 'kerja', 'luar', 'biasa']"
216,"['baru', 'tahu', 'insiden', 'sekian', 'tahun', 'berhasil', 'diumpetin', 'publik', 'eh', 'sekarang', 'dibuka', 'sama', 'anies', 'pantes', 'sj', 'berang']"
217,"['anies', 'memperlihatkan', 'kemunafikan', 'terkait', 'sikapnya', 'keberlanjutan', 'ikn', 'gacoan', 'pagii', 'batter', 'up', '100m', 'views', 'gempa', 'anies', 'kamis', 'daesang', 'pilihan', 'terbaik', 'adidas', 'moldova', 'ulama', 'dana', 'ginting', 'bengis']"
218,"['makanya', 'kan', 'aneh', 'dipaparkan', 'anies', 'kan', 'jelas', 'indeks', 'demokrasi', 'turun', 'kebebasan', 'berpendapat', 'terkekang', 'eh', 'tiba2', 'yang', 'bilang', 'diktator', 'mengungkit', 'jasa2nya', 'anies', 'kan', 'aneh', 'jaka', 'sembung', 'bawa', 'golok']"
219,"['knp', 'kalo', 'pak', 'didukung', 'habib', 'luthfi', 'babeh', 'haikal', 'etidak', 'politik', 'identitas', 'pak', 'anies', 'didukung', 'hrs', 'sama', 'uas', 'malah', 'dibilang', 'politik', 'identitas', 'bukannya', 'semuanya', 'sama', 'aja', 'mainin', 'politik', 'identitas', 'kalo', 'gt', 'termasuk', 'pak', 'jg', 'muncul', 'adzan', 'maghrib', 'rcti']"
220,"['banyak', 'bacot', 'udah', 'melatidakr', 'etika', 'konstitusi', 'gak', 'beretika', 'debat', 'malah', 'bilang', 'anies', 'gak', 'beretika', 'rela', 'bodoh', 'asam', 'sulfat', 'badut']"
221,"['akhirnya', 'anies', 'kena', 'batunya', 'ucapannya', 'terkait', 'udara', 'ber', 'ktp', 'gacoan', 'pagii', 'batter', 'up', '100m', 'views', 'gempa', 'anies', 'kamis', 'daesang', 'pilihan', 'terbaik', 'adidas', 'moldova', 'ulama', 'dana', 'ginting', 'bengis']"
222,"['berani', 'terobos', 'area', 'penegakan', 'hukum', 'paling', 'rawan', 'debat', 'capres', 'reza', 'indragiri', 'siapa', 'kapolri', 'anies']"
223,"['anies', 'keok', 'daesang', 'adidas', 'singapura']"
224,"['fitnah', 'apa', 'fakta', 'ayo', 'jgn', 'd', 'bolak', 'balik', 'apa', 'd', 'sampekan', 'pak', 'anies', 'fakta', 'sebenarnya', 'coba', 'sebutkan', 'letak', 'fitnahnya', 'sebutkan', 'ga', 'dgn', 'data']"
225,"['kisah', 'michael', 'hart', 'pria', 'yahudi', 'amerika', 'diprotes', 'ditentang', 'umumkan', 'nama', 'nabi', 'muhammad', 'kuliah', 'umum', 'london', 'pagii', 'anies', 'ulama', 'gacoan', 'adidas', 'ordal', 'semalem', 'uncrush', 'kodai', 'daesang']"
226,"['info', 'slot', 'gacor', 'hari', 'link', 'slot', 'gacor', 'olivia', 'anies', 'prime', 'video', 'daesang', 'karina', 'dana', 'mahito', 'molly', 'islam', 'angin', 'dieng']"
227,"['liat', 'rekam', 'jejak', 'pas', 'jd', 'gubernur', 'ajasebutin', 'hrs', 'dapet', 'apa', 'dr', 'pak', 'anies']"
228,"['manteb', 'emang', 'menteri', 'baru', 'klo', 'lama', 'kan', 'korupsi', 'kader', 'nasdem', 'skrng', 'dukung', 'anies']"
229,"['pagi', 'jumat', '15', 'desember', '2023', 'pak', 'anies', 'bersama', 'disabilitaspada', 'hari', 'para', 'disabilitas', 'sejabodetabek', 'gaungkan', 'anies', 'presiden', '2024', 'islamic', 'center', 'kota', 'bekasi']"
230,"['analisis', 'linguistik', 'ekspresi', 'gaya', 'bicara', 'anies', 'debat', 'perdana']"
231,"['narasi', 'sesat', 'pas', 'anies', 'jadi', 'gub', 'jakarta', 'emang', 'dki', 'jd', 'ibukota', 'syariah', 'islam', 'justru', 'kota', 'ramah', 'seluruh', 'pemeluk', 'agama', 'ga', 'memelihara', 'kebencian', 'lihat', 'rekam', 'jejak', 'prestasi', 'amp', 'sumbangsih', 'pak', 'anies', 'jgn', 'ketipu', 'narasi', 'islamophobia', 'mcm']"
232,"['lagian', 'anis', 'ko', 'bukan', 'anies', 'awokwokwokwok']"
233,"['ajaib', 'mereka', 'paling', 'keras', 'menolak', 'rizieq', 'asosiasinya', 'anies', 'yang', 'biasanya', 'paling', 'lantang', 'pencitraan', 'progresip', 'peduli', 'kebebasan', 'berekspresi', 'demokrasi', 'ham', 'hak', 'minoritas', 'lha', 'loe', 'mau', 'diseriusi', 'bicara', 'hak', 'minoritas', 'seenaknya', 'menolak', 'hak', 'orang']"
234,"['ab', 'merespons', 'pengumuman', 'rakernas', 'nasdem', 'dengan', 'apresiasi', 'baik', 'gp', 'tetap', 'diam', 'teuku', 'umar', 'dingindingin', 'gondangdia', 'tawarkan', 'anies', 'ke', 'pak', 'lurah', 'pak', 'lurah', 'janjikan', 'jawaban', 'beberapa', 'waktu', 'kemudian', 'kalau', 'tak', 'salah', 'sebulan', 'bulan']"
235,"['cek', 'link', 'bio', 'tag', 'olivia', 'daesang', 'gacoan', 'batter', 'up', '100m', 'views', 'gempa', 'surabaya', 'anies', 'dana', '40', 'hari', 'first', 'lady', 'pilihan', 'terbaik']"
236,"['bener2', 'jadi', 'akun', 'bayaran', 'sekarang', 'haha', 'toloool']"
237,"['semakin', 'mendekati', 'pilpres', 'semakin', 'banyak', 'dukungan', 'pasangan', 'amin', 'anies', 'baswedan', 'sosok', 'tepat', 'menjadi', 'seorang', 'presiden', 'cerdas', 'tegas', 'jujur', 'berani', 'berwibawa', 'tanggungjawab', 'merakyat', 'kalo', 'gak', 'sekarang', 'kapan', 'punya', 'presiden', 'pak', 'anies']"
238,"['titidakl', 'si', 'anies', 'mau', 'tidakk', 'menjalankan', 'fakta', 'integritas', '2', 'poin', 'tersebut', 'tidak', 'semua', 'ditangan', 'anies', 'caprescabut', 'undangundang', 'atau', 'tetap', 'dijalankan']"
239,"['berlaku', 'jg', 'utk', 'menilai', 'kubu', 'dn', 'anies', 'bagian', 'mana', 'vismis', 'mrk', 'scr', 'legitimate', 'bs', 'kt', 'sandingkan', 'dgn', 'nazisme', 'apartheid', 'dn', 'islamisme', 'ala', 'isis', 'dlm', 'satu', 'kalimat']"
240,"['dulu', 'mas', 'anti', 'abud', 'anies', 'krn', 'jagoannya', 'sama2', 'nyungsep', 'sekarang', 'muji2', 'wan', 'abud', 'duh']"
241,"['anies', 'keras', 'banget', 'ternyata', 'pukulannya']"
242,"['rasa', 'keadilan', 'ditimbang', 'ini', 'anies', 'daesang', 'gacoan', 'angin', 'ordal', 'karina', 'ginting', 'first', 'lady', 'semalem', 'dieng', 'no', '1', 'no', '2', 'no', '3', 'kodai', 'putus', 'pagii', 'aikaedutoys', 'montessori', 'anak', 'pilih', 'mainan', 'lokal', 'edukasi']"
243,"['jawaban', 'anies', 'kok', 'mutrr', 'muter', 'tong', 'syetan']"
244,"['diserang', 'permasalahan', 'oposisi', 'debat', 'pertama', 'calon', 'presiden', 'budiman', 'sudjatmiko', 'anies', 'terlalu', 'arogan', 'lancang']"
245,"['kayaknya', 'pak', 'anies', 'mngkin', 'hadir', 'bakalan', 'muncul', 'pertanyaan', 'balik', 'dr', 'beliau', 'komisioner', 'dewas', 'kpk', 'soal', 'skandal', 'tidak', 'adanya', 'integritas', 'pimpinan', 'kpk', 'sendiri']"
246,"['siap', 'dulu', '2019', 'skrg', 'yang', 'lbh', 'hebat', 'pa', 'anies', 'baswedan', 'yu', 'amin', 'kan', '2024']"
247,"['prediksi', 'togel', 'china', 'pools', '15', 'desember', '2023', 'am', '9', '7', '6', '3', '0', 'cb', '2d', '7', 'amp', '9', 'top', '4d', '3017079171039713', 'top', '3d', '971397379713139', 'top', '2d', '179719371371', 'shio', 'ayam', 'twins', '11']"
248,"['kasihan', 'ya', 'pak', 'anies', 'tidakk', 'pernah', 'bilang', 'takut', 'tidak', 'punya', 'jabatan', 'nyalon', 'tiap', 'pemilu']"
249,"['atas', 'dasar', 'skill', 'beliau', 'sulit', 'ditandingi', 'maka', 'pak', 'anies', 'sangat', 'cocok', 'kita', 'pilih', 'jubir', 'presiden']"
250,"['gk', 'milih', 'emang', 'orang', 'gk', 'milih', 'anies', 'aja', 'sih']"
251,"['kelaut', 'aja', 'lo', 'ngak', 'penting', 'masih', 'banyak', 'orang', 'waras', 'dukun', 'anies']"
252,"['pakta', 'integritas', 'ditanda', 'tangani', 'anies', 'muhaimin', 'insyaallah', 'dukungan', 'berbagai', 'kalangan', 'terus', 'mengalir', 'pasangan', 'anies', 'muhaimin', 'lolos', 'putaran', '2', 'aamiin']"
253,"['ngarang', 'anak', 'mas', 'anies', 'mas', 'pernah', 'jadi', 'kepala', 'daerah']"
254,"['kalau', 'anies', 'berpolitiknya', 'sepragmatis', 'menurut', 'penglihatanku', 'sejauh', 'berarti', 'bisa', 'jadi', 'ukuran', 'observasi', 'artinya', 'umum', 'diskursus', 'intelektual', 'gak', 'laku', 'indonesia', 'pantes', 'kubu', 'sana', 'males', 'debat', 'udahlah', 'jogetin', 'aja', 'udah', 'parah', 'kondisi', 'bangsamu']"
255,"['anies', 'bagai', 'kacang', 'lupa', 'kulitnya']"
256,"['ini', 'pertanda', 'anies', 'melihat', 'diskursus', 'gagasan', 'intelektual', 'efektif', 'menaikkan', 'elektabilitasnya', 'akhirnya', 'menggunakan', 'gaya', 'lama', 'namanya', 'politik', 'pragmatis', 'keluar', 'dana', 'besar', 'end', 'goals', 'nya', 'menang', 'mau', 'ordal', 'ataupun', 'idenpol']"
257,"['pak', 'anies', 'bagus', 'dari', 'awal', 'menyerang', 'terus', 'kan', '3', 'cawapres', 'nya']"
258,"['makamah', 'konstitusi', 'mk', 'kenape', 'bermasalah', 'mulu', 'capres', 'bowo', 'buka', 'aib', 'anies', 'datengin', 'rumahnya', 'buat', 'menang', 'pilgub', 'dki', 'bowo', 'bilang', 'ga', 'nyari', 'jabatan', 'terus', 'ngapain', 'capres', '4x', 'wkwk', 'udh', 'pilihan', 'terbaik', 'nomer', 'urut', '3']"
259,"['anies', 'gak', 'pernah', 'menculik', 'kok', 'dituduh', 'penjahat', 'kocak']"
260,"['biasaa', 'semua', 'krn', 'kebakaran', 'jenggot', 'sampe', 'takut', 'setengah', 'mati', 'brarti', 'gadukung', 'anies', 'sampe', 'fitnah', 'caci', 'maki', 'ulama', 'astaghfirullah', 'inget', 'azab', 'byk2', 'istighfar', 'mending']"
261,"['mulai', 'melakukan', '1nt1m1d4si']"
262,"['berkesempatan', 'berdiskusi', 'para', 'pemuda', 'jambi', 'memiliki', 'semangat', 'perubahan', 'indonesia', 'diskusi', 'mulai', 'persoalan', 'pendidikan', 'konflik', 'agraria', 'teknologi', 'keamanan', 'data', 'hitidak', 'kebijakan', 'pembangunan', 'akan', 'diambil', 'terpilih', 'jadi', 'presiden']"
